DCLR_RCPT_NO,DCLR_DT,DCLR_YMD,DCLR_TM,DCLR_YR,DCLR_MM,DCLR_DAY,DCLR_HR,DCLR_MN,DCLR_DOW,SEASN_NM,QTR_NO,CTPV_NM,SGG_NM,EMD_NM,CTY_FRMVL_SE_NM,EMD_SE_NM,RCPT_END_DT,RCPT_END_YMD,RCPT_END_TM,OTR_CTPV_DCLR_YN,DCLR_PSTN_LOT,DCLR_PSTN_LAT,DSPT_DRTV_DT,GRNDS_ARVL_DT,HSPTL_ARVL_DT,CBK_DT,SITTN_END_DT,FRSTN_NM,CNTR_NM,CLMTY_CTPV_NM,CLMTY_SGG_NM,CLMTY_EMD_NM,LOT,LAT
XO4115321114,20230105130536,20230105,130536,2023,1,5,13,5,목요일,겨울,1,경기도,,,,,20230105130751,20230105,130751,N,126.5049,37.7435,,20230105131533,,20230105130625,20230105135623,김포소방서,통진119안전센터,경기도,김포시,월곶면,126.5300198308,37.7303564792
XO4115321269,20230105130606,20230105,130606,2023,1,5,13,6,목요일,겨울,1,경기도,김포시,장기동,도시,동,20230105130712,20230105,130712,N,0,0,,20230105131533,,20230105130625,20230105135623,김포소방서,통진119안전센터,경기도,김포시,월곶면,126.5300198308,37.7303564792
XO4115321018,20230105115746,20230105,115746,2023,1,5,11,57,목요일,겨울,1,경기도,,,,,20230105115822,20230105,115822,N,127.1698,37.3573,,,,20230105134729,20230105134938,광주소방서,능평119안전센터,경기도,광주시,능평동,127.1692588793,37.3578172377
XO3600845936,20230105141300,20230105,141300,2023,1,5,14,13,목요일,겨울,1,세종특별자치시,,,,,20230105141306,20230105,141306,N,0,0,,,,,20230105150954,,,세종특별자치시,,부강면,127.3707680888,36.5296973795
XO1141416107,20230105235732,20230105,235732,2023,1,5,23,57,목요일,겨울,1,서울특별시,,,,,20230105235920,20230105,235920,N,127.146,37.4802,20230105235921,20230106000702,,20230106010117,20230106013121,송파소방서,거여119안전센터,서울특별시,송파구,장지동,127.1460548434,37.4802243008
XO4136457911,20230106001202,20230106,1202,2023,1,6,0,12,금요일,겨울,1,경기도,남양주시,조안면,농촌,면,20230106001307,20230106,1307,N,127.2902,37.5492,,20230106003107,20230106005615,20230106012916,20230106012955,남양주소방서,와부119안전센터,경기도,남양주시,조안면,127.2927437051,37.548498171
XO4136457908,20230106000953,20230106,953,2023,1,6,0,9,금요일,겨울,1,경기도,남양주시,진접읍,농촌,읍,20230106001103,20230106,1103,N,127.2016,37.7108,,20230106002225,20230106005552,20230106012140,20230106012942,남양주소방서,오남119안전센터,경기도,남양주시,오남읍,127.2018687309,37.7088760621
XO1141416310,20230106010728,20230106,10728,2023,1,6,1,7,금요일,겨울,1,서울특별시,,,,,20230106010808,20230106,10808,N,126.9556,37.5472,20230106010808,,,20230106011042,20230106012931,마포소방서,공덕119안전센터,서울특별시,마포구,공덕동,126.9583383088,37.5478813504
XO4411731328,20230105122145,20230105,122145,2023,1,5,12,21,목요일,겨울,1,충청남도,홍성군,홍북읍,농촌,읍,20230105122302,20230105,122302,N,126.631,36.6164,,20230105123052,20230105125055,20230105131704,20230105131756,홍성소방서,내포119안전센터,충청남도,홍성군,홍북읍,126.6309500541,36.6164015566
XO4809644128,20230105100246,20230105,100246,2023,1,5,10,2,목요일,겨울,1,경상남도,함안군,가야읍,농촌,읍,20230105100303,20230105,100303,N,0,0,,,,20230105143041,20230105151012,함안소방서,가야119안전센터,경상남도,함안군,가야읍,128.4000639923,35.2858602847
XO2816965925,20230106011908,20230106,11908,2023,1,6,1,19,금요일,겨울,1,인천광역시,남동구,구월동,도시,동,20230106012013,20230106,12013,N,126.702,37.4447,20230106012012,20230106012640,,20230106013223,20230106013226,남동소방서,구월119안전센터,인천광역시,남동구,구월동,126.7026386563,37.4447541935
XO2816965928,20230106012058,20230106,12058,2023,1,6,1,20,금요일,겨울,1,인천광역시,남동구,구월동,도시,동,20230106012135,20230106,12135,N,126.7023,37.4447,20230106012012,20230106012640,,20230106013223,20230106013226,남동소방서,구월119안전센터,인천광역시,남동구,구월동,126.7026386563,37.4447541935
XO4411731844,20230105175013,20230105,175013,2023,1,5,17,50,목요일,겨울,1,충청남도,,,,,20230105175040,20230105,175040,N,0,0,,20230105175934,,20230105181120,20230105183642,예산소방서,금오119안전센터,충청남도,예산군,신양면,126.8904831119,36.6206218949
XO1141414773,20230105182519,20230105,182519,2023,1,5,18,25,목요일,겨울,1,서울특별시,,,,,20230105182531,20230105,182531,N,126.9672,37.583,20230105182531,20230105183028,,20230105183634,20230105183638,종로소방서,신교119안전센터,서울특별시,종로구,옥인동,126.9672212999,37.5830352293
XO4115321981,20230105165826,20230105,165826,2023,1,5,16,58,목요일,겨울,1,경기도,하남시,학암동,도시,동,20230105165905,20230105,165905,N,127.1426,37.4739,,20230105171104,20230105173743,20230105183413,20230105183629,하남소방서,감일119안전센터,경기도,성남시 수정구,창곡동,127.1425781254,37.473865509
XO4354759241,20230105172454,20230105,172454,2023,1,5,17,24,목요일,겨울,1,충청북도,제천시,모산동,도시,동,20230105172539,20230105,172539,N,0,0,,20230105172929,,20230105174310,20230105183628,제천소방서,의림지119안전센터,충청북도,제천시,모산동,128.2110709995,37.1703850001
XO4354759242,20230105172551,20230105,172551,2023,1,5,17,25,목요일,겨울,1,충청북도,제천시,모산동,도시,동,20230105172635,20230105,172635,N,128.2118,37.1657,,20230105172929,,20230105174310,20230105183628,제천소방서,의림지119안전센터,충청북도,제천시,모산동,128.2110709995,37.1703850001
XO4354759243,20230105172555,20230105,172555,2023,1,5,17,25,목요일,겨울,1,충청북도,제천시,모산동,도시,동,20230105172629,20230105,172629,N,128.2124,37.1704,,20230105172929,,20230105174310,20230105183628,제천소방서,의림지119안전센터,충청북도,제천시,모산동,128.2110709995,37.1703850001
XO4354759244,20230105172623,20230105,172623,2023,1,5,17,26,목요일,겨울,1,충청북도,,,,,20230105172739,20230105,172739,N,0,0,,20230105172929,,20230105174310,20230105183628,제천소방서,의림지119안전센터,충청북도,제천시,모산동,128.2110709995,37.1703850001
XO4354759245,20230105172839,20230105,172839,2023,1,5,17,28,목요일,겨울,1,충청북도,,,,,20230105172916,20230105,172916,N,128.2112,37.1652,,20230105172929,,20230105174310,20230105183628,제천소방서,의림지119안전센터,충청북도,제천시,모산동,128.2110709995,37.1703850001
XO4115322046,20230105171340,20230105,171340,2023,1,5,17,13,목요일,겨울,1,경기도,하남시,덕풍동,도시,동,20230105171430,20230105,171430,N,127.1993,37.5388,,20230105172708,20230105175155,20230105182912,20230105183624,하남소방서,덕풍119안전센터,경기도,하남시,덕풍동,127.199157866,37.5386965307
XO4711025825,20230105170039,20230105,170039,2023,1,5,17,0,목요일,겨울,1,경상북도,영천시,도동,도시,동,20230105170130,20230105,170130,N,128.9369,35.9619,,20230105170437,20230105172517,20230105170743,20230105183617,영천소방서,남부119안전센터,경상북도,영천시,완산동,128.9377303252,35.9615969306
XO1141411916,20230105020818,20230105,20818,2023,1,5,2,8,목요일,겨울,1,서울특별시,강서구,방화동,도시,동,20230105020906,20230105,20906,N,0,0,20230105020906,20230105021431,20230105022505,20230105025002,20230105025432,강서소방서,방화119안전센터,서울특별시,강서구,방화동,126.814096054,37.5689915371
XO3103704272,20230105125509,20230105,125509,2023,1,5,12,55,목요일,겨울,1,울산광역시,중구,다운동,도시,동,20230105125555,20230105,125555,N,129.2732,35.5577,,20230105130845,20230105132144,20230105134946,20230105134957,중부소방서,태화119안전센터,울산광역시,중구,다운동,129.2704614878,35.5595050453
XO2786449647,20230105034443,20230105,34443,2023,1,5,3,44,목요일,겨울,1,대구광역시,달서구,두류동,도시,동,20230105034610,20230105,34610,N,128.5585,35.8564,20230105034610,20230105035146,20230105035819,20230105041706,20230105042200,달서소방서,본리119안전센터,대구광역시,달서구,두류동,128.5587528348,35.8572092081
XO2816965236,20230105161639,20230105,161639,2023,1,5,16,16,목요일,겨울,1,인천광역시,,,,,20230105161710,20230105,161710,N,126.728,37.4897,20230105161710,20230105162705,,20230105171426,20230105171700,부평소방서,부평119안전센터,인천광역시,부평구,부평동,126.7280000002,37.4896499996
XO1141414080,20230105152528,20230105,152528,2023,1,5,15,25,목요일,겨울,1,서울특별시,서초구,반포동,도시,동,20230105152746,20230105,152746,N,0,0,20230105152746,20230105153100,,20230105152929,20230105171643,서초소방서,반포119안전센터,서울특별시,서초구,반포동,127.0044741952,37.503184563
XO4354759174,20230105154406,20230105,154406,2023,1,5,15,44,목요일,겨울,1,충청북도,충주시,주덕읍,농촌,읍,20230105154517,20230105,154517,N,0,0,,20230105155144,,20230105161800,20230105171633,제천소방서,화산안전센터,충청북도,제천시,신백동,128.2261586012,37.1313005851
XO4354759185,20230105155520,20230105,155520,2023,1,5,15,55,목요일,겨울,1,충청북도,제천시,신백동,도시,동,20230105155636,20230105,155636,N,128.2239,37.1335,,20230105155144,,20230105161800,20230105171633,제천소방서,화산안전센터,충청북도,제천시,신백동,128.2261586012,37.1313005851
XO1141413990,20230105150056,20230105,150056,2023,1,5,15,0,목요일,겨울,1,서울특별시,,,,,20230105150246,20230105,150246,N,127.0122,37.528,20230105150246,20230105151031,20230105155859,20230105171614,20230105171631,중부소방서,신당119안전센터,서울특별시,중구,신당동,127.0128699561,37.5506533183
